Data,Wartość dla NN (L) Spółek Dywidendowych USA (A),Waluta
2013-05-31,147.79,PLN
2013-06-03,148.90,PLN
2013-06-04,148.58,PLN
2013-06-05,147.21,PLN
2013-06-06,147.96,PLN
2013-06-07,148.83,PLN
2013-06-10,149.14,PLN
2013-06-11,148.11,PLN
2013-06-12,147.41,PLN
2013-06-13,149.14,PLN
2013-06-14,148.57,PLN
2013-06-17,149.53,PLN
2013-06-18,150.01,PLN
2013-06-19,148.37,PLN
2013-06-20,144.72,PLN
2013-06-21,145.14,PLN
2013-06-24,143.81,PLN
2013-06-25,144.84,PLN
2013-06-26,145.78,PLN
2013-06-27,146.77,PLN
2013-06-28,147.71,PLN
2013-07-01,148.11,PLN
2013-07-02,147.75,PLN
2013-07-03,147.45,PLN
2013-07-04,147.44,PLN
2013-07-05,147.63,PLN
2013-07-08,148.09,PLN
2013-07-09,148.69,PLN
2013-07-10,148.98,PLN
2013-07-11,151.16,PLN
2013-07-12,151.24,PLN
2013-07-15,153.36,PLN
2013-07-16,153.27,PLN
2013-07-17,153.16,PLN
2013-07-18,153.74,PLN
2013-07-19,153.85,PLN
2013-07-22,154.29,PLN
2013-07-23,154.60,PLN
